Entry	Mass	Gene Names (ordered locus)
P53740	44542	YNR048W
P53741	57674	YNR051C
P53742	55489	YNR053C
P53743	36408	YNR054C
P53753	121064	YNR067C
P53759	48131	YML080W
P53769	29741	YLR323C
P53829	41155	YNL288W
P53832	52292	YNL283C
P53833	22612	YNL282W
P53838	65028	YNL275W
P53839	38831	YNL274C
P53840	141120	YNL273W
P53844	40678	YNL264C
P53845	35498	YNL263C
P53846	18896	YNL260C
P53847	88072	YNL258C
P53848	93120	YNL256W
P53853	30615	YNL246W
P53855	178414	YNL242W
P53858	100590	YNL233W
P53859	31583	YNL232W
P53860	40714	YNL231C
P53865	67400	YNL225C
P53866	86950	YNL224C
P53867	55143	YNL223W
P53868	63777	YNL219C
P53871	40181	YNL191W
P53872	21966	YNL190W
P53874	88531	YNL186W
P53877	61773	YNL182C
P53879	36818	YNL180C
P53886	196162	YNL172W
P53890	49694	YNL166C
P53893	124464	YNL163C
P53894	86946	YNL161W
P53895	32986	YNL159C
P53896	22383	YNL158W
P53897	18051	YNL157W
P53899	31517	YNL155W
P53901	46226	YNL152W
P53904	28354	YNL148C
P53905	13006	YNL147W
P53909	39635	YNL141W
P53911	49391	YNL136W
P53914	119348	YNL132W
P53915	27690	YNL129W
P53917	109793	YNL127W
P53919	54949	YNL124W
P53920	110881	YNL123W
P53923	56473	YNL119W
P53924	57584	YNL116W
P53927	25447	YNL110C
P53930	25981	YNL107W
P53933	66134	YNL094W
P53939	45908	YNL078W
P53940	58889	YNL077W
P53941	33482	YNL075W
P53942	34875	YNL072W
P53950	128140	YNL054W
P53951	45604	YNL051W
P53954	63143	YNL048W
P53955	74785	YNL047C
P53959	96976	YNL041C
P53965	32755	YNL032W
P53968	76301	YNL027W
P53969	54406	YNL026W
P53972	56177	YNL022C
P53973	80070	YNL021W
P53974	71373	YNL020C
P53978	115869	YNL014W
P53981	27481	YNL010W
P53983	77649	YNL008C
P54000	33102	YMR039C
P54003	33830	YML052W
P54070	52128	YPL053C
P54074	71444	YMR119W
P54113	65282	YLR028C
P54115	54414	YPL061W
P54199	86772	YDL028C
P54780	24422	YMR121C
P54781	61334	YMR015C
P54783	59494	YML086C
P54784	104400	YML065W
P54785	54382	YMR070W
P54786	105496	YML109W
P54787	52483	YML097C
P54790	72077	YLL004W
P54791	60705	YPR162C
P54837	24106	YML012W
P54854	62931	YDL245C
P54857	37500	YDR058C
P54860	109916	YDL190C
P54861	84972	YLL001W
P54862	62733	YOL156W
P54867	39270	YOR008C
P54999	9660	YPR182W
P57743	10030	YLR438C-A
P60010	41690	YFL039C
P61829	7759	Q0130
P61830	15356	YBR010W; YNL031C
P62651	8039	YPL096C-A
P69771	23091	YKR035W-A
P69850	10848	YBR233W-A
P69851	8155	YDR320C-A
P69852	8088	YKL138C-A
P80210	48279	YNL220W
P80428	54832	YJL081C
P80667	42706	YLR191W
P80967	5985	YPR133W-A
P81449	10876	YDR322C-A
P81450	6688	YML081C-A
P87108	10305	YHR005C-A
P89102	112121	YDR166C
P89105	124709	YOL145C
Q00055	42869	YDL022W
Q00245	25312	YIL118W
Q00246	32186	YKR055W
Q00362	59662	YGL190C
Q00381	17373	YJR058C
Q00402	313033	YDR150W
Q00416	252497	YLR430W
Q00539	56972	YHR086W
Q00578	95341	YIL143C
Q00582	35847	YML121W
Q00618	39675	YJL031C
Q00684	61907	YFR028C
Q00711	70229	YKL148C
Q00764	56148	YBR126C
Q00772	55636	YHR030C
Q00776	53874	YPL259C
Q00816	112616	YDR028C
Q00916	34447	YIL061C
Q00947	58088	YDR463W
Q00955	250353	YNR016C
Q01080	46651	YNL248C
Q01159	52764	YGL130W
Q01217	94869	YER069W
Q01389	164195	YJL095W
Q01448	67775	YBR215W
Q01454	104425	YPR135W
Q01476	146355	YOR124C
Q01477	101917	YER151C
Q01519	9788	YLR038C
Q01532	55483	YNL239W
Q01560	45407	YDR432W
Q01574	79141	YAL054C
Q01589	34431	YDR077W
Q01590	38807	YLR026C
Q01649	69070	YMR198W
Q01662	43373	YLR244C
Q01722	58062	YNL199C
Q01852	48854	YIL022W
Q01855	16002	YOL040C
Q01896	120317	YDR039C
Q01919	90088	YOR233W
Q01926	54203	YOR334W
Q01939	45272	YGL048C
Q02046	36240	YKR080W
Q02100	70192	YNL167C
Q02159	18520	YMR022W
Q02199	49142	YGL172W
Q02201	51588	YKR003W
Q02205	20242	YKR007W
Q02256	41185	YIR026C
Q02260	16275	YGR074W
Q02326	19962	YML073C
Q02336	50569	YDR448W
Q02354	52418	YDR449C
Q02455	218456	YKR095W
Q02457	62824	YPL128C
Q02486	21562	YMR072W
Q02555	54071	YMR239C
Q02574	53146	YLR288C
Q02629	99988	YKL068W
Q02630	116234	YMR047C
Q02642	17020	YPL037C
Q02647	10441	YDR424C
Q02685	26860	YPL024W
Q02724	72378	YPL020C
Q02725	96553	YPL019C
Q02732	42782	YPL018W
Q02733	54156	YPL017C
Q02767	27702	YPL065W
Q02773	139348	YML091C
Q02774	23512	YDL212W
Q02775	44637	YDR088C
Q02776	55099	YPL063W
Q02784	16931	YPL059W
Q02785	171065	YPL058C
Q02792	115934	YOR048C
Q02793	44232	YGL213C
Q02794	50261	YOR047C
Q02795	31653	YMR149W
Q02804	22782	YPL051W
Q02805	92349	YOR018W
Q02821	60441	YNL189W
Q02884	51156	YPL101W
Q02887	55188	YPL100W
Q02888	21842	YPL099C
Q02890	42485	YPL096W
Q02892	74410	YPL093W
Q02896	37231	YPL087W
Q02908	63657	YPL086C
Q02931	101237	YPL126W
Q02933	50171	YPL123C
Q02939	58535	YPL122C
Q02948	63261	YPL120W
Q02950	39445	YPL118W
Q02959	79200	YPL116W
Q03010	51022	YPL139C
Q03012	41468	YPL138C
Q03018	187447	YGR098C
Q03020	17895	YPL135W
Q03034	56164	YDR539W
Q03048	15901	YLL050C
Q03063	49356	YPL049C
Q03067	11285	YPL047W
Q03071	11328	YPL046C
Q03081	19557	YPL038W
Q03096	20555	YIL009C-A
Q03103	65033	YML130C
Q03124	65218	YML127W
Q03125	26743	YDR043C
Q03144	24907	YMR095C
Q03148	31817	YMR096W
Q03162	72251	YMR100W
Q03178	34622	YKL164C
Q03180	33004	YKL163W
Q03195	68340	YDR091C
Q03213	79416	YMR172W
Q03262	71069	YMR278W
Q03280	374185	YDR457W
Q03290	38128	YDR460W
Q03305	47469	YDR465C
Q03308	92741	YPL045W
Q03322	25817	YDR468C
Q03330	51069	YGR252W
Q03337	31722	YDR472W
Q03373	36879	YDR480W
Q03388	90580	YDR485C
Q03390	25862	YDR486C
Q03406	33948	YDR489W
Q03407	86253	YDR490C
Q03433	32021	YML041C
Q03435	23857	YDL002C
Q03455	80578	YDR205W
Q03465	60153	YDL020C
Q03466	100000	YDR206W
Q03496	163577	YMR259C
Q03497	102362	YHL007C
Q03503	20457	YPR051W
Q03529	44881	YMR272C
Q03532	56717	YMR290C
Q03533	66220	YMR291W
Q03554	15431	YMR292W
Q03557	50919	YMR293C
Q03558	45011	YHR179W
Q03630	18434	YML077W
Q03631	107561	YML076C
Q03640	171076	YML072C
Q03649	51438	YMR210W
Q03654	67731	YMR213W
Q03655	56794	YMR215W
Q03656	83238	YMR216C
Q03660	128131	YMR218C
Q03674	75455	YMR006C
Q03677	20879	YMR009W
Q03687	46872	YMR010W
Q03690	145166	YMR012W
Q03691	28908	YMR200W
Q03702	41000	YKL011C
Q03705	20662	YML036W
Q03713	18477	YML030W
Q03714	96653	YML029W
Q03723	37891	YML019W
Q03758	104786	YML111W
Q03761	61073	YDR145W
Q03768	31031	YDR152W
Q03769	47321	YDR153C
Q03771	42943	YDR161W
Q03774	50488	YDR165W
Q03778	24537	YDR236C
Q03784	24863	YDR246W
Q03785	52136	YDR247W
Q03790	52619	YMR153W
Q03818	17222	YMR159C
Q03833	99481	YDR096W
Q03834	140080	YDR097C
Q03835	28261	YDR098C
Q03862	65213	YDR101C
Q03868	145181	YDR104C
Q03897	130946	YDR128W
Q03898	33186	YDR130C
Q03920	24973	YDR140W
Q03921	194688	YDR141C
Q03940	50453	YDR190C
Q03941	27340	YDR196C
Q03944	67284	YDR200C
Q03954	18910	YDR201W
Q03957	60501	YKL139W
Q03973	27544	YDR174W
Q04002	171102	YDR180W
Q04003	55409	YDR181C
Q04013	34185	YMR241W
Q04048	100229	YDR416W
Q04049	71515	YDR419W
Q04053	70741	YDR425W
Q04062	45782	YDR427W
Q04067	30501	YDR429C
Q04080	60814	YDR434W
Q04082	16090	YDR437W
Q04087	39354	YDR439W
Q04089	66201	YDR440W
Q04110	34113	YDR446W
Q04119	78344	YDR452W
Q04120	21615	YDR453C
Q04121	70148	YDR456W
Q04149	72309	YDR386W
Q04175	108405	YDR395W
Q04177	72002	YDR398W
Q04178	25191	YDR399W
Q04179	37960	YDR400W
Q04195	100796	YDR409W
Q04199	51252	YML102W
Q04214	198899	YMR045C
Q04217	144955	YMR128W
Q04226	40624	YML015C
Q04228	66761	YML013W
Q04235	52726	YML005W
Q04264	147041	YMR076C
Q04272	25638	YMR077C
Q04305	57686	YMR093W
Q04307	12513	YDR045C
Q04311	72733	YDR049W
Q04322	82131	YMR192W
Q04338	24668	YMR197C
Q04344	17680	YDL125C
Q04359	46621	YMR017W
Q04364	59065	YMR018W
Q04370	45992	YMR026C
Q04371	54129	YMR027W
Q04373	75106	YDR496C
Q04377	86425	YDR499W
Q04396	31586	YDR503C
Q04401	15783	YDR511W
Q04409	55921	YDR516C
Q04410	41119	YDR517W
Q04432	25670	YDR533C
Q04437	71241	YMR106C
Q04439	136899	YMR109W
Q04458	59979	YMR110C
Q04461	52370	YMR111C
Q04472	58004	YMR115W
Q04477	24604	YMR117C
Q04491	33043	YLR208W
Q04493	18356	YML094W
Q04500	103023	YML093W
Q04511	76860	YML088W
Q04601	75256	YDR118W
Q04603	21997	YDR121W
Q04629	39312	YDR126W
Q04636	62994	YML069W
Q04638	54096	YML068W
Q04651	40706	YML067C
Q04659	36355	YMR048W
Q04660	91705	YMR049C
Q04673	52290	YLR005W
Q04693	153784	YML049C
Q04705	41372	YML047C
Q04728	47849	YMR062C
Q04739	46648	YER027C
Q04746	58440	YMR065W
Q04749	47139	YMR068W
Q04779	78836	YMR075W
Q04781	180186	YMR247C
Q04839	21571	YMR255W
Q04847	64405	YMR258C
Q04868	30574	YMR312W
Q04894	39618	YMR318C
Q04921	48193	YDR218C
Q04924	79907	YDR221W
Q04947	32916	YDR233C
Q04951	40469	YMR305C
Q04958	187133	YML059C
Q04964	11834	YML058W
Q05016	29158	YMR226C
Q05021	67555	YMR227C
Q05022	193134	YMR229C
Q05027	17315	YMR236W
Q05029	82049	YMR237W
Q05031	50541	YMR238W
Q05080	76207	YMR032W
Q05123	53074	YMR033W
Q05164	94706	YOL155C
Q05166	58793	YDL088C
Q05359	24723	YAR002C-A
Q05471	174530	YDR334W
Q05515	54368	YDR346C
Q05521	33514	YDR284C
Q05533	32093	YDR287W
Q05549	123550	YDR291W
Q05567	65566	YDR294C
Q05568	39099	YDR265W
Q05580	72756	YDR266C
Q05583	37275	YDR267C
Q05636	33962	YDR280W
Q05775	29564	YLR192C
Q05776	20108	YLR193C
Q05777	25762	YLR194C
Q05779	29958	YLR201C
Q05785	71807	YLR206W
Q05787	95481	YLR207W
Q05789	25975	YLR211C
Q05791	41852	YLR215C
Q05871	31698	YLR284C
Q05900	27045	YLR298C
Q05902	73180	YLR299W
Q05919	50860	YLR360W
Q05930	70528	YLR368W
Q05931	72365	YLR369W
Q05946	91032	YLR222C
Q05949	45721	YLR226W
Q05958	89286	YLR228C
Q05979	51032	YLR231C
Q06010	117579	YLR389C
Q06032	53863	YLR394W
Q06053	76596	YLR401C
Q06058	32590	YLR404W
Q06063	41696	YLR405W
Q06078	104791	YLR409C
Q06096	98666	YPR105C
Q06102	24553	YPR107C
Q06106	101120	YPR112C
Q06132	102853	YLR336C
Q06135	62362	YLR343W
Q06142	94776	YLR347C
Q06143	32992	YLR348C
Q06144	24855	YLR350W
Q06147	77566	YLR260W
Q06148	39116	YLR265C
Q06151	40770	YLR270W
Q06156	132967	YLR272C
Q06159	46628	YLR312C
Q06160	74007	YLR313C
Q06163	102635	YLR318W
Q06164	167683	YLR320W
Q06168	48777	YLR321C
Q06178	45859	YLR328W
Q06204	48969	YLR446W
Q06205	43903	YLR449W
Q06211	161238	YPR164W
Q06213	17908	YPR168W
Q06217	12853	YLR275W
Q06218	68060	YLR276C
Q06224	87674	YLR277C
Q06263	37316	YLR181C
Q06266	55468	YLR183C
Q06287	27895	YLR186W
Q06321	136054	YLR189C
Q06324	54817	YLR190W
Q06339	74709	YDR362C
Q06340	52542	YDR363W
Q06344	72410	YDR365C
Q06346	25484	YDR367W
Q06385	39287	YDR372C
Q06389	22011	YDR373W
Q06390	36052	YDR374C
Q06406	9398	YDR378C
Q06408	71384	YDR380W
Q06409	221563	YLR422W
Q06410	48656	YLR423C
Q06411	83049	YLR424W
Q06440	72553	YLR429W
Q06449	23539	YPR154W
Q06488	102300	YLR357W
Q06489	45020	YPR118W
Q06493	52174	YPR125W
Q06504	22921	YPR131C
Q06505	46082	YPR133C
Q06506	65054	YPR137W
Q06508	33816	YPR139C
Q06510	44188	YPR140W
Q06512	63637	YPR144C
Q06522	34842	YPR147C
Q06549	15536	YLR245C
Q06551	41099	YLR246W
Q06554	180344	YLR247C
Q06580	18521	YPR188C
Q06592	18334	YPR193C
Q06593	101261	YPR194C
Q06596	33227	YPR199C
Q06598	45848	YPR201W
Q06604	64666	YPR171W
Q06623	75463	YPR179C
Q06625	174972	YPR184W
Q06628	83281	YPR185W
Q06629	77059	YDR295C
Q06630	26895	YDR296W
Q06631	61203	YDR299W
Q06632	153405	YDR301W
Q06639	101720	YDR303C
Q06648	42852	YDR309C
Q06651	32675	YDR313C
Q06671	51540	YLR431C
Q06675	42971	YDR318W
Q06676	32011	YDR319C
Q06677	75020	YDR320C
Q06679	87801	YDR324C
Q06680	117851	YDR325W
Q06681	160578	YDR326C
Q06685	129755	YLR410W
Q06696	64018	YLR417W
Q06697	44456	YLR418C
Q06703	35693	YLR308W
Q06704	105225	YLR309C
Q06705	47463	YLR380W
Q06706	152990	YLR384C
Q06708	99773	YLR386W
Q06810	38901	YPR075C
Q06817	71018	YPR081C
Q06833	87324	YPR091C
Q06836	137583	YPR095C
Q07084	78529	YLR006C
Q07381	90748	YDL060W
Q07418	38706	YDL065C
Q07442	72513	YDL070W
Q07457	80692	YDL074C
Q07468	122882	YDL077C
Q07471	68366	YDL080C
Q07478	50309	YDL084W
Q07508	30195	YDL087C
Q07528	72546	YDL113C
Q07532	40640	YDL115C
Q07533	100621	YDL117W
Q07540	19490	YDL120W
Q07551	35561	YDL124W
Q07560	32020	YDL142C
Q07648	16746	YDL219W
Q07657	62630	YDL225W
Q07688	19169	YDL235C
Q07732	91812	YDL239C
Q07794	50096	YLL002W
Q07800	47931	YLL010C
Q07804	66508	YLL012W
Q07807	98068	YLL013C
Q07821	27675	YLL027W
Q07824	64272	YLL028W
Q07830	115634	YLL031C
Q07845	72258	YLL035W
Q07878	357849	YLL040C
Q07879	19760	YLL042C
Q07896	75582	YLR002C
Q07913	38335	YLR007W
Q07914	17910	YLR008C
Q07915	23975	YLR009W
Q07923	21281	YLR011W
Q07938	37857	YLR017W
Q07950	62447	YLR020C
Q07963	216778	YLR024C
Q08001	78212	YLR072W
Q08004	18517	YLR074C
Q08032	74249	YLR103C
Q08096	40171	YOL010W
Q08108	75077	YOL011W
Q08109	63535	YOL013C
Q08144	45875	YOL018C
Q08162	113707	YOL021C
Q08179	65005	YOL027C
Q08193	51870	YOL030W
Q08204	126037	YOL034W
Q08214	43844	YOL043C
Q08215	43676	YOL044W
Q08217	124373	YOL045W
Q08218	40878	YOL047C
Q08220	55815	YOL049W
Q08224	61269	YOL055C
Q08229	55923	YOL070C
Q08230	19042	YOL071W
Q08231	52678	YOL072W
Q08235	33531	YOL077C
Q08236	131379	YOL078W
Q08245	12589	YOL109W
Q08273	13940	YOL133W
Q08278	25585	YOL135C
Q08281	149344	YOL138C
Q08282	78957	YOL141W
Q08285	26556	YOL142W
Q08387	108515	YOR005C
Q08412	46870	YOR042W
Q08417	43187	YOR049C
Q08438	73649	YOR054C
Q08444	51742	YOR056C
Q08446	44860	YOR057W
Q08448	51106	YOR059C
Q08457	29557	YOR060C
Q08465	25350	YOR064C
Q08490	66706	YOR073W
Q08491	84779	YOR076C
Q08492	24385	YOR078W
Q08496	85070	YOR080W
Q08548	72228	YOR175C
Q08550	54358	YOR177C
Q08558	30058	YOR180C
Q08562	184406	YOR191W
Q08581	95380	YOR195W
Q08601	47982	YOR197W
Q08641	71486	YOR239W
Q08645	62151	YOR241W
Q08647	77002	YOR243C
Q08649	52613	YOR244W
Q08650	47711	YOR245C
Q08651	37485	YOR246C
Q08683	79275	YOR249C
Q08685	50226	YOR250C
Q08686	34219	YOR251C
Q08689	19727	YOR253W
Q08702	25757	YOR258W
Q08723	38313	YOR261C
Q08747	25967	YOR295W
Q08749	21972	YOR297C
Q08754	84830	YOR299W
Q08760	50161	YOR301W
Q08773	130327	YOR304W
Q08826	18770	YOR357C
Q08831	57557	YOR359W
Q08886	100940	YOR371C
Q08887	60523	YOR372C
Q08905	80589	YOR381W
Q08920	23774	YPL178W
Q08921	88845	YPL180W
Q08923	57053	YPL181W
Q08924	114461	YPL183C
Q08931	14428	YPL192C
Q08949	69694	YPL194W
Q08951	106924	YPL195W
Q08955	18307	YPL200W
Q08957	47105	YPL202C
Q08959	37070	YPL206C
Q08960	89805	YPL207W
Q08962	20381	YPL211W
Q08965	135571	YPL217C
Q08967	89291	YPL221W
Q08968	78313	YPL222W
Q08972	134331	YPL226W
Q08975	61334	YPL258C
Q08985	36669	YPL273W
Q08986	64354	YPL274W
Q10740	77353	YNL045W
Q12001	62783	YOR002W
Q12003	40749	YPL236C
Q12006	44488	YOL003C
Q12009	33391	YDL201W
Q12017	32793	YOR281C
Q12018	93944	YDL132W
Q12019	559308	YLR106C
Q12024	51359	YOR272W
Q12030	23019	YDR167W
Q12038	114513	YPR032W
Q12039	80576	YOL095C
Q12041	21518	YDR253C
Q12043	84716	YOR081C
Q12045	75730	YPL253C
Q12046	38431	YDL209C
Q12050	91262	YOR144C
Q12051	38651	YPL069C
Q12052	36527	YPL157W
Q12055	22723	YDL166C
Q12060	54466	YPL254W
Q12063	42557	YDL193W
Q12068	38170	YOL151W
Q12071	101520	YDR027C
Q12080	52556	YPL146C
Q12092	24708	YPL166W
Q12093	47049	YDL033C
Q12094	35686	YOR006C
Q12098	84362	YLR135W
Q12099	45213	YDR021W
Q12100	69615	YDL025C
Q12106	33989	YOR228C
Q12114	73639	YLR330W
Q12118	37218	YOR007C
Q12123	40941	YOR173W
Q12124	47718	YDL005C
Q12127	13058	YLR110C
Q12136	70259	YDL153C
Q12142	115403	YDL149W
Q12146	21952	YOL146W
Q12149	84039	YOR001W
Q12150	338258	YLR087C
Q12151	100340	YDR213W
Q12154	39354	YDL100C
Q12157	18865	YDL008W
Q12158	63290	YDL003W
Q12166	67200	YOR108W
Q12168	88403	YLR144C
Q12173	34027	YGR109W-A
Q12176	116677	YDR060W
Q12178	17507	YPR062W
Q12181	72328	YPR048W
Q12184	18932	YPL252C
Q12186	53034	YLR116W
Q12188	77202	YPR007C
Q12191	38295	YDL099W
Q12196	56122	YOR119C
Q12198	64223	YLL058W
Q12206	51951	YOR229W
Q12207	18967	YPR149W
Q12208	33694	YLR132C
Q12211	62143	YPL212C
Q12213	27696	YPL198W
Q12216	81178	YOR156C
Q12220	106342	YLR129W
Q12223	26630	YDL059C
Q12224	73484	YPL089C
Q12229	52943	YDL091C
Q12230	38071	YPL004C
Q12236	121660	YOL100W
Q12241	32498	YOR106W
Q12246	69639	YOR171C
Q12248	10516	YDR016C
Q12250	51768	YDL147W
Q12255	28964	YLR093C
Q12256	73223	YOR273C
Q12262	21138	YPR046W
Q12263	129858	YDR507C
Q12265	53505	YOL061W
Q12267	162189	YLR086W
Q12271	124577	YOR109W
Q12277	29055	YDL111C
Q12280	172830	YPL242C
Q12284	22141	YPR037C
Q12285	23732	YOL111C
Q12287	8056	YLL009C
Q12292	46655	YOL083W
Q12297	40296	YPL011C
Q12300	83159	YDL138W
Q12303	54570	YLR121C
Q12305	15413	YOR285W
Q12306	11597	YDR510W
Q12309	82445	YLR117C
Q12311	86029	YPR031W
Q12315	62073	YDL207W
Q12317	57093	YOL112W
Q12321	64251	YPR070W
Q12324	77953	YOR087W
Q12328	21864	YDL217C
Q12330	10375	YOR159C
Q12333	70905	YOL152W
Q12334	25754	YDL139C
Q12339	28801	YOR004W
Q12341	43873	YPL001W
Q12343	32205	YOR174W
Q12344	101800	YPL249C
Q12349	14128	YLR295C
Q12355	45777	YDR055W
Q12361	110709	YDL035C
Q12362	67036	YOL066C
Q12363	48383	YOR230W
Q12365	45384	YPL255W
Q12366	40856	YOL104C
Q12373	43428	YLL022C
Q12377	49774	YDL097C
Q12379	19356	YDR260C
Q12380	33560	YPL149W
Q12382	32840	YOR311C
Q12383	54095	YOL125W
Q12386	100209	YOR141C
Q12389	112946	YDL031W
Q12396	50947	YLR080W
Q12400	34520	YOL093W
Q12402	20270	YPR028W
Q12404	36408	YOR288C
Q12406	53810	YPR034W
Q12411	69878	YOL091W
Q12416	32901	YOR083W
Q12417	50700	YPL151C
Q12421	22191	YDR022C
Q12425	20877	YPR067W
Q12429	77941	YLR143W
Q12432	45203	YPR023C
Q12438	25783	YDL010W
Q12440	99978	YLR127C
Q12443	44359	YDL204W
Q12445	34232	YLR018C
Q12446	67572	YOR181W
Q12449	39436	YDR214W
Q12451	145796	YDL019C
Q12452	39725	YLR100W
Q12457	66352	YDR026C
Q12460	56864	YLR197W
Q12461	41452	YPL152W
Q12462	26875	YOL147C
Q12463	50073	YOL124C
Q12464	51612	YPL235W
Q12465	133959	YLR084C
Q12466	133576	YOR086C
Q12468	50812	YDL216C
Q12469	75331	YOL113W
Q12472	201965	YDR034C-D
Q12473	81989	YLL051C
Q12476	39344	YDL175C
Q12477	34798	YDL179W
Q12481	36125	YOR287C
Q12483	26954	YPL002C
Q12488	24204	YDR013W
Q12490	198969	YBL005W-B
Q12494	119550	YDR017C
Q12495	70210	YPR018W
Q12499	56956	YOR310C
Q12501	202131	YOR343W-B
Q12502	89826	YOR322C
Q12505	57844	YPL026C
Q12508	49169	YDR255C
Q12509	50044	YLR085C
Q12511	63669	YOR090C
Q12514	65855	YPR072W
Q12517	26266	YOL149W
Q12518	52352	YDL161W
Q12522	26458	YPR016C
Q12524	39755	YLR151C
Q12527	135025	YPR049C
Q12530	23619	YLR145W
Q12532	119069	YPL009C
Q12674	188319	YMR162C
Q12675	182619	YDR093W
Q12680	238102	YDL171C
Q12691	120296	YDR038C
Q12692	14283	YOL012C
Q12697	166750	YOR291W
Q12734	124849	YPR030W
Q12745	82396	YLR440C
Q12746	35287	YML125C
Q12748	84252	YLR381W
Q12749	128009	YLR383W
Q12754	137509	YPL012W
Q3E754	9760	YJL136C
Q3E757	19750	YGR085C
Q3E772	10495	YGR169C-A
Q3E792	12039	YGR027C
Q3E793	12537	YAL044W-A
Q3E7B6	8381	YCL005W-A
Q3E7X9	7592	YOR167C
Q3E833	9993	YKR095W-A
Q3E840	9356	YBL071W-A
Q3E846	12445	YMR244C-A
Q6Q547	6636	YHR072W-A
Q6WNK7	11085	YBR111W-A
Q7LHG5	172369	YIL082W-A
Q92316	9517	YGL226C-A
Q92317	16650	YDR397C
Q92325	75639	YOL025W
Q92328	30729	YOL009C
Q92331	76484	YOR069W
Q96VH5	10408	YCL057C-A
Q99176	25101	YLR119W
Q99190	36768	YDL015C
Q99207	94302	YDL148C
Q99210	26477	YOR111W
Q99216	30332	YOR145C
Q99220	61258	YDR057W
Q99222	102250	YOR129C
Q99231	198839	YDR210C-D
Q99257	67352	YPL169C
Q99258	22568	YDR487C
Q99260	24413	YLR262C
Q99271	109369	YLR138W
Q99278	13307	YMR112C
Q99287	89432	YOR165W
Q99299	84846	YPL158C
Q99312	51330	YOR155C
Q99314	29018	YOR213C
Q99315	178307	YGR109W-B
Q99321	21572	YOR163W
Q99325	29693	YOR152C
Q99380	3985	YDL232W
Q99383	59650	YOL123W
Q99385	44646	YDL128W
Q99394	30749	YOR115C
Q9ZZW7	61172	Q0115
Q9ZZX1	72165	Q0070
D6W196	55715	YNL083W
O13525	38627	YDR204W
O13539	30299	YHR167W
O14455	11135	YPL249C-A
O14464	10698	YPL183W-A
O75012	10691	YDL045W-A
P00425	17197	YIL111W
P00427	17342	YHR051W
P00447	25774	YHR008C
P00856	5822	Q0080
P00899	56768	YER090W
P00931	76626	YGL026C
P01098	10062	YDL130W-A
P01149	18642	YPL187W
P02381	47123	Q0140
P03872	33196	R0040C
P03882	27683	Q0160
P04046	56719	YMR300C
P04076	51989	YHR018C
P04161	23540	YDR408C
P04173	38953	YCL018W
P04449	17614	YGL031C
P04650	6342	YJL189W
P04803	43015	YDR268W
P05085	100282	YML099C
P05694	85860	YER091C
P05738	21569	YGL147C
P05743	14234	YLR344W
P05747	6669	YFR032C-A
P05749	13693	YLR061W
P06182	30081	YAL039C
P06633	23833	YOR202W
P06773	35646	YHR144C
P06775	66006	YGR191W
P06776	61000	YOR360C
P06783	53708	YKL178C
P07253	18679	YBR120C
P07262	49570	YOR375C
P07266	41290	YIR021W
P07275	64435	YHR037W
P07284	53310	YDR023W
P07285	41374	YDR354W
P07806	125770	YGR094W
P07807	24261	YOR236W
P08431	42385	YBR018C
P08456	30805	YER026C
P08465	53659	YNL277W
P09368	53271	YLR142W
P09435	70547	YBL075C
P09457	22814	YDR298C
P0C0W1	14626	YJL190C
P0C2H6	15531	YHR010W
P0C2H8	12953	YDL075W
P0C2H9	12967	YLR406C
P0CD90	17024	YLL052C
P0CE00	67257	YJR160C
P0CH63	25152	YFL061W
P0CH64	25152	YNL335W
P0CW40	68699	YIL172C
P0CX08	56470	YEL070W
P0CX23	20437	YMR242C
P0CX25	10091	YPR043W
P0CX26	10091	YJR094W-A
P0CX33	7118	YLR287C-A
P0CX34	7118	YOR182C
P0CX52	15847	YDL083C
P0CX86	3337	YDL184C
P0CX87	3337	YDL133C-A
P10355	29155	YER153C
P10566	34502	YJL133W
P10834	34637	YGR222W
P10849	51192	YDL044C
P10869	58110	YER052C
P10963	60983	YKR097W
P11927	50653	YNL188W
P12612	60481	YDR212W
P12685	141073	YJL129C
P12686	38988	YGR084C
P12687	43227	YNL005C
P12887	40471	YML021C
P13045	58129	YDR009W
P13090	59983	YML116W
P13181	63626	YLR081W
P13188	93133	YOR168W
P13298	24664	YML106W
P13434	16154	YBL021C
P13483	27067	YML113W
P13902	17378	YOL108C
P14063	15520	YKL138C
P14066	26586	YDL069C
P14359	15199	YJL151C
P14843	41070	YDR035W
P15179	75461	YPL104W
P15365	60850	YJR152W
P16965	9615	YGR008C
P17121	73629	YDR389W
P17423	38712	YHR025W
P17536	23541	YNL079C
P18408	30380	YPR167C
P18414	25763	YBL040C
P18544	46681	YOL140W
P18900	52560	YBR003W
P18963	350980	YBR140C
P19158	351669	YOL081W
P19516	34044	YPL132W
P19735	104229	YBR055C
P19736	63029	YDL030W
P19881	34625	YDL236W
P20048	58906	YMR013C
P20051	40313	YLR420W
P20053	52442	YPR178W
P20084	9531	YMR286W
P20134	83345	YOR140W
P20437	62050	YMR199W
P20438	61697	YPL256C
P20484	47291	YKL021C
P21595	56071	YDR402C
P21657	109174	YIR023W
P21771	33057	YDR337W
P22035	89604	YKR099W
P22135	36554	YJL180C
P22136	67523	YMR282C
P22148	43060	YOL116W
P22202	69651	YER103W
P22353	26945	YJL063C
P22354	22392	YKR085C
P22438	66734	YGR171C
P22470	65618	YDR143C
